bundle_id,replicate,policy,review_duration,case_id,agent_id,family,task_completed,wrong_transaction_committed,service_failure_loss,wrong_transaction_loss,initial_error,staged,reviewed,automatic_rejections,operational_loss
evaluation_00,1,uncertainty,2,train:062,1,modify,True,False,0,0,True,True,True,1,0
evaluation_00,1,uncertainty,2,train:018,2,return_exchange,False,True,4,12,True,True,False,2,16
evaluation_00,1,greedy,2,train:089,0,cancel,True,False,0,0,False,True,True,2,0
evaluation_00,1,greedy,2,train:062,1,modify,True,False,0,0,True,True,True,1,0
evaluation_00,1,greedy,2,train:018,2,return_exchange,False,True,4,12,True,True,False,2,16
evaluation_00,1,search,2,train:089,0,cancel,True,False,0,0,False,True,True,2,0
evaluation_00,1,search,2,train:062,1,modify,True,False,0,0,True,True,True,1,0
evaluation_00,1,search,2,train:018,2,return_exchange,False,True,4,12,True,True,False,2,16
evaluation_00,1,no_review,1,train:089,0,cancel,True,False,0,0,False,True,False,2,0
evaluation_00,1,no_review,1,train:062,1,modify,False,True,4,4,True,True,False,1,8
evaluation_00,1,no_review,1,train:018,2,return_exchange,False,True,4,12,True,True,False,2,16
evaluation_00,1,fcfs,1,train:089,0,cancel,True,False,0,0,False,True,True,2,0
evaluation_00,1,fcfs,1,train:062,1,modify,True,False,0,0,True,True,True,1,0
evaluation_00,1,fcfs,1,train:018,2,return_exchange,True,False,0,0,True,True,True,2,0
evaluation_00,1,edf,1,train:089,0,cancel,True,False,0,0,False,True,True,2,0
evaluation_00,1,edf,1,train:062,1,modify,True,False,0,0,True,True,True,1,0
evaluation_00,1,edf,1,train:018,2,return_exchange,True,False,0,0,True,True,True,2,0
evaluation_00,1,uncertainty,1,train:089,0,cancel,True,False,0,0,False,True,True,2,0
evaluation_00,1,uncertainty,1,train:062,1,modify,True,False,0,0,True,True,True,1,0
evaluation_00,1,uncertainty,1,train:018,2,return_exchange,True,False,0,0,True,True,True,2,0
evaluation_00,1,greedy,1,train:089,0,cancel,True,False,0,0,False,True,True,2,0
evaluation_00,1,greedy,1,train:062,1,modify,True,False,0,0,True,True,True,1,0
evaluation_00,1,greedy,1,train:018,2,return_exchange,True,False,0,0,True,True,True,2,0
evaluation_00,1,search,1,train:089,0,cancel,True,False,0,0,False,True,True,2,0
evaluation_00,1,search,1,train:062,1,modify,True,False,0,0,True,True,True,1,0
evaluation_00,1,search,1,train:018,2,return_exchange,True,False,0,0,True,True,True,2,0
evaluation_00,2,no_review,2,train:089,0,cancel,True,False,0,0,False,True,False,1,0
evaluation_00,2,no_review,2,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,no_review,2,train:018,2,return_exchange,False,True,4,12,True,True,False,3,16
evaluation_00,2,fcfs,2,train:089,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_00,2,fcfs,2,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,fcfs,2,train:018,2,return_exchange,False,True,4,12,True,True,False,3,16
evaluation_00,2,edf,2,train:089,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_00,2,edf,2,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,edf,2,train:018,2,return_exchange,False,True,4,12,True,True,False,3,16
evaluation_00,2,uncertainty,2,train:089,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_00,2,uncertainty,2,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,uncertainty,2,train:018,2,return_exchange,False,True,4,12,True,True,False,3,16
evaluation_00,2,greedy,2,train:089,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_00,2,greedy,2,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,greedy,2,train:018,2,return_exchange,False,True,4,12,True,True,False,3,16
evaluation_00,2,search,2,train:089,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_00,2,search,2,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,search,2,train:018,2,return_exchange,False,True,4,12,True,True,False,3,16
evaluation_00,2,no_review,1,train:089,0,cancel,True,False,0,0,False,True,False,1,0
evaluation_00,2,no_review,1,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,no_review,1,train:018,2,return_exchange,False,True,4,12,True,True,False,3,16
evaluation_00,2,fcfs,1,train:089,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_00,2,fcfs,1,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,fcfs,1,train:018,2,return_exchange,True,False,0,0,True,True,True,3,0
evaluation_00,2,edf,1,train:089,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_00,2,edf,1,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,edf,1,train:018,2,return_exchange,True,False,0,0,True,True,True,3,0
evaluation_00,2,uncertainty,1,train:089,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_00,2,uncertainty,1,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,uncertainty,1,train:018,2,return_exchange,True,False,0,0,True,True,True,3,0
evaluation_00,2,greedy,1,train:089,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_00,2,greedy,1,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,greedy,1,train:018,2,return_exchange,True,False,0,0,True,True,True,3,0
evaluation_00,2,search,1,train:089,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_00,2,search,1,train:062,1,modify,False,False,4,0,False,False,False,9,4
evaluation_00,2,search,1,train:018,2,return_exchange,True,False,0,0,True,True,True,3,0
evaluation_01,0,fcfs,1,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,fcfs,1,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,fcfs,1,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,0,edf,1,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,edf,1,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,edf,1,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,0,uncertainty,1,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,uncertainty,1,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,uncertainty,1,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,0,greedy,1,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,greedy,1,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,greedy,1,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,0,search,1,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,search,1,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,search,1,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,0,no_review,1,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,no_review,1,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,no_review,1,train:090,2,cancel,True,False,0,0,False,True,False,1,0
evaluation_01,0,fcfs,2,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,fcfs,2,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,fcfs,2,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,0,edf,2,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,edf,2,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,edf,2,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,0,uncertainty,2,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,uncertainty,2,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,uncertainty,2,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,0,greedy,2,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,greedy,2,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,greedy,2,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,0,search,2,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,search,2,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,search,2,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,0,no_review,2,train:063,0,modify,False,False,4,0,False,False,False,5,4
evaluation_01,0,no_review,2,train:025,1,return_exchange,False,False,4,0,False,False,False,10,4
evaluation_01,0,no_review,2,train:090,2,cancel,True,False,0,0,False,True,False,1,0
evaluation_01,1,fcfs,1,train:063,0,modify,True,False,0,0,True,True,True,2,0
evaluation_01,1,fcfs,1,train:025,1,return_exchange,True,False,0,0,False,True,True,1,0
evaluation_01,1,fcfs,1,train:090,2,cancel,False,False,4,0,False,False,False,11,4
evaluation_01,1,edf,1,train:063,0,modify,True,False,0,0,True,True,True,2,0
evaluation_01,1,edf,1,train:025,1,return_exchange,True,False,0,0,False,True,True,1,0
evaluation_01,1,edf,1,train:090,2,cancel,False,False,4,0,False,False,False,11,4
evaluation_01,1,uncertainty,1,train:063,0,modify,True,False,0,0,True,True,True,2,0
evaluation_01,1,uncertainty,1,train:025,1,return_exchange,True,False,0,0,False,True,True,1,0
evaluation_01,1,uncertainty,1,train:090,2,cancel,False,False,4,0,False,False,False,11,4
evaluation_01,1,greedy,1,train:063,0,modify,True,False,0,0,True,True,True,2,0
evaluation_01,1,greedy,1,train:025,1,return_exchange,True,False,0,0,False,True,True,1,0
evaluation_01,1,greedy,1,train:090,2,cancel,False,False,4,0,False,False,False,11,4
evaluation_01,1,search,1,train:063,0,modify,True,False,0,0,True,True,True,2,0
evaluation_01,1,search,1,train:025,1,return_exchange,True,False,0,0,False,True,True,1,0
evaluation_01,1,search,1,train:090,2,cancel,False,False,4,0,False,False,False,11,4
evaluation_01,1,no_review,1,train:063,0,modify,False,True,4,4,True,True,False,2,8
evaluation_01,1,no_review,1,train:025,1,return_exchange,True,False,0,0,False,True,False,1,0
evaluation_01,1,no_review,1,train:090,2,cancel,False,False,4,0,False,False,False,11,4
evaluation_01,1,fcfs,2,train:063,0,modify,True,False,0,0,True,True,True,2,0
evaluation_01,1,fcfs,2,train:025,1,return_exchange,True,False,0,0,False,True,False,1,0
evaluation_01,1,fcfs,2,train:090,2,cancel,False,False,4,0,False,False,False,11,4
evaluation_01,1,edf,2,train:063,0,modify,True,False,0,0,True,True,True,2,0
evaluation_01,1,edf,2,train:025,1,return_exchange,True,False,0,0,False,True,False,1,0
evaluation_01,1,edf,2,train:090,2,cancel,False,False,4,0,False,False,False,11,4
evaluation_01,1,uncertainty,2,train:063,0,modify,True,False,0,0,True,True,True,2,0
evaluation_01,1,uncertainty,2,train:025,1,return_exchange,True,False,0,0,False,True,False,1,0
evaluation_01,1,uncertainty,2,train:090,2,cancel,False,False,4,0,False,False,False,11,4
