bundle_id,replicate,policy,review_duration,tick,eligible,initially_wrong_eligible,greedy_search_heads_differ
evaluation_01,1,edf,2,4,0,0,False
evaluation_01,1,edf,2,5,0,0,False
evaluation_01,1,fcfs,2,0,1,1,False
evaluation_01,1,fcfs,2,2,0,0,False
evaluation_01,1,fcfs,2,3,0,0,False
evaluation_01,1,fcfs,2,4,0,0,False
evaluation_01,1,fcfs,2,5,0,0,False
evaluation_01,1,greedy,2,0,1,1,False
evaluation_01,1,greedy,2,2,0,0,False
evaluation_01,1,greedy,2,3,0,0,False
evaluation_01,1,greedy,2,4,0,0,False
evaluation_01,1,greedy,2,5,0,0,False
evaluation_01,1,no_review,2,0,1,1,False
evaluation_01,1,no_review,2,1,2,1,False
evaluation_01,1,no_review,2,2,1,1,False
evaluation_01,1,no_review,2,3,1,1,False
evaluation_01,1,no_review,2,4,0,0,False
evaluation_01,1,no_review,2,5,0,0,False
evaluation_01,1,search,2,0,1,1,False
evaluation_01,1,search,2,2,0,0,False
evaluation_01,1,search,2,3,0,0,False
evaluation_01,1,search,2,4,0,0,False
evaluation_01,1,search,2,5,0,0,False
evaluation_01,1,uncertainty,2,0,1,1,False
evaluation_01,1,uncertainty,2,2,0,0,False
evaluation_01,1,uncertainty,2,3,0,0,False
evaluation_01,1,uncertainty,2,4,0,0,False
evaluation_01,1,uncertainty,2,5,0,0,False
evaluation_01,2,edf,1,0,2,1,False
evaluation_01,2,edf,1,1,2,1,True
evaluation_01,2,edf,1,2,1,1,False
evaluation_01,2,edf,1,3,0,0,False
evaluation_01,2,edf,1,4,0,0,False
evaluation_01,2,edf,1,5,0,0,False
evaluation_01,2,fcfs,1,0,2,1,False
evaluation_01,2,fcfs,1,1,2,0,True
evaluation_01,2,fcfs,1,2,1,0,False
evaluation_01,2,fcfs,1,3,0,0,False
evaluation_01,2,fcfs,1,4,0,0,False
evaluation_01,2,fcfs,1,5,0,0,False
evaluation_01,2,greedy,1,0,2,1,False
evaluation_01,2,greedy,1,1,2,0,True
evaluation_01,2,greedy,1,2,1,0,False
evaluation_01,2,greedy,1,3,0,0,False
evaluation_01,2,greedy,1,4,0,0,False
evaluation_01,2,greedy,1,5,0,0,False
evaluation_01,2,no_review,1,0,2,1,False
evaluation_01,2,no_review,1,1,3,1,True
evaluation_01,2,no_review,1,2,3,1,False
evaluation_01,2,no_review,1,3,2,1,True
evaluation_01,2,no_review,1,4,1,1,False
evaluation_01,2,no_review,1,5,0,0,False
evaluation_01,2,search,1,0,2,1,False
evaluation_01,2,search,1,1,2,0,True
evaluation_01,2,search,1,2,1,0,False
evaluation_01,2,search,1,3,0,0,False
evaluation_01,2,search,1,4,0,0,False
evaluation_01,2,search,1,5,0,0,False
evaluation_01,2,uncertainty,1,0,2,1,False
evaluation_01,2,uncertainty,1,1,2,0,True
evaluation_01,2,uncertainty,1,2,1,0,False
evaluation_01,2,uncertainty,1,3,0,0,False
evaluation_01,2,uncertainty,1,4,0,0,False
evaluation_01,2,uncertainty,1,5,0,0,False
evaluation_01,2,edf,2,0,2,1,False
evaluation_01,2,edf,2,2,1,1,False
evaluation_01,2,edf,2,4,0,0,False
evaluation_01,2,edf,2,5,0,0,False
evaluation_01,2,fcfs,2,0,2,1,False
evaluation_01,2,fcfs,2,2,1,0,False
evaluation_01,2,fcfs,2,4,0,0,False
evaluation_01,2,fcfs,2,5,0,0,False
evaluation_01,2,greedy,2,0,2,1,False
evaluation_01,2,greedy,2,2,1,0,False
evaluation_01,2,greedy,2,4,0,0,False
evaluation_01,2,greedy,2,5,0,0,False
evaluation_01,2,no_review,2,0,2,1,False
evaluation_01,2,no_review,2,1,3,1,False
evaluation_01,2,no_review,2,2,2,1,False
evaluation_01,2,no_review,2,3,1,1,False
evaluation_01,2,no_review,2,4,0,0,False
evaluation_01,2,no_review,2,5,0,0,False
evaluation_01,2,search,2,0,2,1,False
evaluation_01,2,search,2,2,1,0,False
evaluation_01,2,search,2,4,0,0,False
evaluation_01,2,search,2,5,0,0,False
evaluation_01,2,uncertainty,2,0,2,1,False
evaluation_01,2,uncertainty,2,2,1,0,False
evaluation_01,2,uncertainty,2,4,0,0,False
evaluation_01,2,uncertainty,2,5,0,0,False
evaluation_02,0,edf,1,0,1,0,False
evaluation_02,0,edf,1,1,1,0,False
evaluation_02,0,edf,1,2,0,0,False
evaluation_02,0,edf,1,3,0,0,False
evaluation_02,0,edf,1,4,0,0,False
evaluation_02,0,edf,1,5,0,0,False
evaluation_02,0,fcfs,1,0,1,0,False
evaluation_02,0,fcfs,1,1,1,0,False
evaluation_02,0,fcfs,1,2,0,0,False
evaluation_02,0,fcfs,1,3,0,0,False
evaluation_02,0,fcfs,1,4,0,0,False
evaluation_02,0,fcfs,1,5,0,0,False
evaluation_02,0,greedy,1,0,1,0,False
evaluation_02,0,greedy,1,1,1,0,False
evaluation_02,0,greedy,1,2,0,0,False
evaluation_02,0,greedy,1,3,0,0,False
evaluation_02,0,greedy,1,4,0,0,False
evaluation_02,0,greedy,1,5,0,0,False
evaluation_02,0,no_review,1,0,1,0,False
evaluation_02,0,no_review,1,1,2,0,True
evaluation_02,0,no_review,1,2,1,0,False
evaluation_02,0,no_review,1,3,1,0,False
evaluation_02,0,no_review,1,4,1,0,False
evaluation_02,0,no_review,1,5,0,0,False
evaluation_02,0,search,1,0,1,0,False
evaluation_02,0,search,1,1,1,0,False
evaluation_02,0,search,1,2,0,0,False
evaluation_02,0,search,1,3,0,0,False
evaluation_02,0,search,1,4,0,0,False
evaluation_02,0,search,1,5,0,0,False
evaluation_02,0,uncertainty,1,0,1,0,False
evaluation_02,0,uncertainty,1,1,1,0,False
evaluation_02,0,uncertainty,1,2,0,0,False
evaluation_02,0,uncertainty,1,3,0,0,False
evaluation_02,0,uncertainty,1,4,0,0,False
evaluation_02,0,uncertainty,1,5,0,0,False
evaluation_02,0,edf,2,0,1,0,False
evaluation_02,0,edf,2,2,1,0,False
evaluation_02,0,edf,2,4,0,0,False
evaluation_02,0,edf,2,5,0,0,False
evaluation_02,0,fcfs,2,0,1,0,False
evaluation_02,0,fcfs,2,2,1,0,False
evaluation_02,0,fcfs,2,4,0,0,False
evaluation_02,0,fcfs,2,5,0,0,False
evaluation_02,0,greedy,2,0,1,0,False
evaluation_02,0,greedy,2,2,1,0,False
evaluation_02,0,greedy,2,4,0,0,False
evaluation_02,0,greedy,2,5,0,0,False
evaluation_02,0,no_review,2,0,1,0,False
evaluation_02,0,no_review,2,1,1,0,False
evaluation_02,0,no_review,2,2,1,0,False
evaluation_02,0,no_review,2,3,1,0,False
evaluation_02,0,no_review,2,4,0,0,False
evaluation_02,0,no_review,2,5,0,0,False
evaluation_02,0,search,2,0,1,0,False
evaluation_02,0,search,2,2,1,0,False
evaluation_02,0,search,2,4,0,0,False
evaluation_02,0,search,2,5,0,0,False
evaluation_02,0,uncertainty,2,0,1,0,False
evaluation_02,0,uncertainty,2,2,1,0,False
evaluation_02,0,uncertainty,2,4,0,0,False
evaluation_02,0,uncertainty,2,5,0,0,False
evaluation_02,1,edf,1,0,1,0,False
evaluation_02,1,edf,1,1,1,0,False
evaluation_02,1,edf,1,2,0,0,False
evaluation_02,1,edf,1,3,0,0,False
evaluation_02,1,edf,1,4,0,0,False
evaluation_02,1,edf,1,5,0,0,False
evaluation_02,1,fcfs,1,0,1,0,False
evaluation_02,1,fcfs,1,1,1,0,False
evaluation_02,1,fcfs,1,2,0,0,False
evaluation_02,1,fcfs,1,3,0,0,False
evaluation_02,1,fcfs,1,4,0,0,False
evaluation_02,1,fcfs,1,5,0,0,False
evaluation_02,1,greedy,1,0,1,0,False
evaluation_02,1,greedy,1,1,1,0,False
evaluation_02,1,greedy,1,2,0,0,False
evaluation_02,1,greedy,1,3,0,0,False
evaluation_02,1,greedy,1,4,0,0,False
evaluation_02,1,greedy,1,5,0,0,False
evaluation_02,1,no_review,1,0,1,0,False
evaluation_02,1,no_review,1,1,2,0,True
evaluation_02,1,no_review,1,2,1,0,False
evaluation_02,1,no_review,1,3,1,0,False
evaluation_02,1,no_review,1,4,1,0,False
evaluation_02,1,no_review,1,5,0,0,False
evaluation_02,1,search,1,0,1,0,False
evaluation_02,1,search,1,1,1,0,False
evaluation_02,1,search,1,2,0,0,False
evaluation_02,1,search,1,3,0,0,False
evaluation_02,1,search,1,4,0,0,False
evaluation_02,1,search,1,5,0,0,False
evaluation_02,1,uncertainty,1,0,1,0,False
evaluation_02,1,uncertainty,1,1,1,0,False
evaluation_02,1,uncertainty,1,2,0,0,False
evaluation_02,1,uncertainty,1,3,0,0,False
evaluation_02,1,uncertainty,1,4,0,0,False
evaluation_02,1,uncertainty,1,5,0,0,False
evaluation_02,1,edf,2,0,1,0,False
evaluation_02,1,edf,2,2,1,0,False
evaluation_02,1,edf,2,4,0,0,False
evaluation_02,1,edf,2,5,0,0,False
evaluation_02,1,fcfs,2,0,1,0,False
evaluation_02,1,fcfs,2,2,1,0,False
evaluation_02,1,fcfs,2,4,0,0,False
evaluation_02,1,fcfs,2,5,0,0,False
evaluation_02,1,greedy,2,0,1,0,False
evaluation_02,1,greedy,2,2,1,0,False
evaluation_02,1,greedy,2,4,0,0,False
evaluation_02,1,greedy,2,5,0,0,False
evaluation_02,1,no_review,2,0,1,0,False
evaluation_02,1,no_review,2,1,1,0,False
evaluation_02,1,no_review,2,2,1,0,False
evaluation_02,1,no_review,2,3,1,0,False
evaluation_02,1,no_review,2,4,0,0,False
evaluation_02,1,no_review,2,5,0,0,False
evaluation_02,1,search,2,0,1,0,False
evaluation_02,1,search,2,2,1,0,False
evaluation_02,1,search,2,4,0,0,False
evaluation_02,1,search,2,5,0,0,False
evaluation_02,1,uncertainty,2,0,1,0,False
evaluation_02,1,uncertainty,2,2,1,0,False
evaluation_02,1,uncertainty,2,4,0,0,False
evaluation_02,1,uncertainty,2,5,0,0,False
evaluation_02,2,edf,1,0,1,0,False
evaluation_02,2,edf,1,1,1,0,False
evaluation_02,2,edf,1,2,0,0,False
evaluation_02,2,edf,1,3,0,0,False
evaluation_02,2,edf,1,4,0,0,False
evaluation_02,2,edf,1,5,0,0,False
evaluation_02,2,fcfs,1,0,1,0,False
evaluation_02,2,fcfs,1,1,1,0,False
evaluation_02,2,fcfs,1,2,0,0,False
evaluation_02,2,fcfs,1,3,0,0,False
evaluation_02,2,fcfs,1,4,0,0,False
evaluation_02,2,fcfs,1,5,0,0,False
evaluation_02,2,greedy,1,0,1,0,False
evaluation_02,2,greedy,1,1,1,0,False
evaluation_02,2,greedy,1,2,0,0,False
evaluation_02,2,greedy,1,3,0,0,False
evaluation_02,2,greedy,1,4,0,0,False
evaluation_02,2,greedy,1,5,0,0,False
evaluation_02,2,no_review,1,0,1,0,False
evaluation_02,2,no_review,1,1,2,0,True
evaluation_02,2,no_review,1,2,1,0,False
evaluation_02,2,no_review,1,3,1,0,False
evaluation_02,2,no_review,1,4,1,0,False
evaluation_02,2,no_review,1,5,0,0,False
evaluation_02,2,search,1,0,1,0,False
evaluation_02,2,search,1,1,1,0,False
evaluation_02,2,search,1,2,0,0,False
evaluation_02,2,search,1,3,0,0,False
evaluation_02,2,search,1,4,0,0,False
evaluation_02,2,search,1,5,0,0,False
evaluation_02,2,uncertainty,1,0,1,0,False
evaluation_02,2,uncertainty,1,1,1,0,False
evaluation_02,2,uncertainty,1,2,0,0,False
evaluation_02,2,uncertainty,1,3,0,0,False
evaluation_02,2,uncertainty,1,4,0,0,False
evaluation_02,2,uncertainty,1,5,0,0,False
evaluation_02,2,edf,2,0,1,0,False
evaluation_02,2,edf,2,2,1,0,False
evaluation_02,2,edf,2,4,0,0,False
evaluation_02,2,edf,2,5,0,0,False
evaluation_02,2,fcfs,2,0,1,0,False
evaluation_02,2,fcfs,2,2,1,0,False
evaluation_02,2,fcfs,2,4,0,0,False
evaluation_02,2,fcfs,2,5,0,0,False
evaluation_02,2,greedy,2,0,1,0,False
evaluation_02,2,greedy,2,2,1,0,False
evaluation_02,2,greedy,2,4,0,0,False
evaluation_02,2,greedy,2,5,0,0,False
evaluation_02,2,no_review,2,0,1,0,False
evaluation_02,2,no_review,2,1,1,0,False
evaluation_02,2,no_review,2,2,1,0,False
evaluation_02,2,no_review,2,3,1,0,False
evaluation_02,2,no_review,2,4,0,0,False
evaluation_02,2,no_review,2,5,0,0,False
evaluation_02,2,search,2,0,1,0,False
evaluation_02,2,search,2,2,1,0,False
evaluation_02,2,search,2,4,0,0,False
evaluation_02,2,search,2,5,0,0,False
evaluation_02,2,uncertainty,2,0,1,0,False
evaluation_02,2,uncertainty,2,2,1,0,False
evaluation_02,2,uncertainty,2,4,0,0,False
evaluation_02,2,uncertainty,2,5,0,0,False
evaluation_03,0,edf,1,0,2,0,False
evaluation_03,0,edf,1,1,2,1,True
evaluation_03,0,edf,1,2,1,1,False
evaluation_03,0,edf,1,3,0,0,False
evaluation_03,0,edf,1,4,0,0,False
evaluation_03,0,edf,1,5,0,0,False
evaluation_03,0,fcfs,1,0,2,0,False
evaluation_03,0,fcfs,1,1,2,1,True
evaluation_03,0,fcfs,1,2,1,1,False
evaluation_03,0,fcfs,1,3,0,0,False
evaluation_03,0,fcfs,1,4,0,0,False
evaluation_03,0,fcfs,1,5,0,0,False
evaluation_03,0,greedy,1,0,2,0,False
evaluation_03,0,greedy,1,1,2,1,True
evaluation_03,0,greedy,1,2,1,0,False
evaluation_03,0,greedy,1,3,0,0,False
evaluation_03,0,greedy,1,4,0,0,False
evaluation_03,0,greedy,1,5,0,0,False
evaluation_03,0,no_review,1,0,2,0,False
evaluation_03,0,no_review,1,1,3,1,True
evaluation_03,0,no_review,1,2,2,1,True
evaluation_03,0,no_review,1,3,2,1,True
evaluation_03,0,no_review,1,4,2,1,False
evaluation_03,0,no_review,1,5,0,0,False
evaluation_03,0,search,1,0,2,0,False
evaluation_03,0,search,1,1,2,1,True
evaluation_03,0,search,1,2,1,1,False
evaluation_03,0,search,1,3,0,0,False
evaluation_03,0,search,1,4,0,0,False
evaluation_03,0,search,1,5,0,0,False
evaluation_03,0,uncertainty,1,0,2,0,False
