condition_id,comparison,bundle,loss_difference,effort_difference
core_low_0_6_model,guarded-unguarded,5,0.0,0.0
core_low_0_6_model,guarded-no_review,0,0.0,0.0
core_low_0_6_model,guarded-no_review,1,0.0,0.0
core_low_0_6_model,guarded-no_review,2,0.0,0.0
core_low_0_6_model,guarded-no_review,3,0.0,0.0
core_low_0_6_model,guarded-no_review,4,0.0,0.0
core_low_0_6_model,guarded-no_review,5,0.0,0.0
core_low_0_6_model_risk,guarded-sticky_edf,0,0.0,0.0
core_low_0_6_model_risk,guarded-sticky_edf,1,0.0,0.0
core_low_0_6_model_risk,guarded-sticky_edf,2,0.0,0.0
core_low_0_6_model_risk,guarded-sticky_edf,3,0.0,0.0
core_low_0_6_model_risk,guarded-sticky_edf,4,0.0,0.0
core_low_0_6_model_risk,guarded-sticky_edf,5,0.0,0.0
core_low_0_6_model_risk,guarded-greedy,0,0.0,0.0
core_low_0_6_model_risk,guarded-greedy,1,0.0,0.0
core_low_0_6_model_risk,guarded-greedy,2,0.0,0.0
core_low_0_6_model_risk,guarded-greedy,3,0.0,0.0
core_low_0_6_model_risk,guarded-greedy,4,0.0,0.0
core_low_0_6_model_risk,guarded-greedy,5,0.0,0.0
core_low_0_6_model_risk,guarded-edf,0,0.0,0.0
core_low_0_6_model_risk,guarded-edf,1,0.0,0.0
core_low_0_6_model_risk,guarded-edf,2,0.0,0.0
core_low_0_6_model_risk,guarded-edf,3,0.0,0.0
core_low_0_6_model_risk,guarded-edf,4,0.0,0.0
core_low_0_6_model_risk,guarded-edf,5,0.0,0.0
core_low_0_6_model_risk,guarded-density,0,0.0,0.0
core_low_0_6_model_risk,guarded-density,1,0.0,0.0
core_low_0_6_model_risk,guarded-density,2,0.0,0.0
core_low_0_6_model_risk,guarded-density,3,0.0,0.0
core_low_0_6_model_risk,guarded-density,4,0.0,0.0
core_low_0_6_model_risk,guarded-density,5,0.0,0.0
core_low_0_6_model_risk,guarded-unguarded,0,0.0,0.0
core_low_0_6_model_risk,guarded-unguarded,1,0.0,0.0
core_low_0_6_model_risk,guarded-unguarded,2,0.0,0.0
core_low_0_6_model_risk,guarded-unguarded,3,0.0,0.0
core_low_0_6_model_risk,guarded-unguarded,4,0.0,0.0
core_low_0_6_model_risk,guarded-unguarded,5,0.0,0.0
core_low_0_6_model_risk,guarded-no_review,0,-12.0,6.0
core_low_0_6_model_risk,guarded-no_review,1,0.0,6.0
core_low_0_6_model_risk,guarded-no_review,2,8.0,6.0
core_low_0_6_model_risk,guarded-no_review,3,12.0,6.0
core_low_0_6_model_risk,guarded-no_review,4,0.0,6.0
core_low_0_6_model_risk,guarded-no_review,5,0.0,6.0
core_low_0_12_ideal,guarded-sticky_edf,0,0.0,0.0
core_low_0_12_ideal,guarded-sticky_edf,1,0.0,0.0
core_low_0_12_ideal,guarded-sticky_edf,2,0.0,0.0
core_low_0_12_ideal,guarded-sticky_edf,3,0.0,0.0
core_low_0_12_ideal,guarded-sticky_edf,4,0.0,0.0
core_low_0_12_ideal,guarded-sticky_edf,5,0.0,0.0
core_low_0_12_ideal,guarded-greedy,0,0.0,0.0
core_low_0_12_ideal,guarded-greedy,1,0.0,0.0
core_low_0_12_ideal,guarded-greedy,2,0.0,0.0
core_low_0_12_ideal,guarded-greedy,3,0.0,0.0
core_low_0_12_ideal,guarded-greedy,4,0.0,0.0
core_low_0_12_ideal,guarded-greedy,5,0.0,0.0
core_low_0_12_ideal,guarded-edf,0,0.0,0.0
core_low_0_12_ideal,guarded-edf,1,0.0,0.0
core_low_0_12_ideal,guarded-edf,2,0.0,0.0
core_low_0_12_ideal,guarded-edf,3,0.0,0.0
core_low_0_12_ideal,guarded-edf,4,0.0,0.0
core_low_0_12_ideal,guarded-edf,5,0.0,0.0
core_low_0_12_ideal,guarded-density,0,0.0,0.0
core_low_0_12_ideal,guarded-density,1,0.0,0.0
core_low_0_12_ideal,guarded-density,2,0.0,0.0
core_low_0_12_ideal,guarded-density,3,0.0,0.0
core_low_0_12_ideal,guarded-density,4,0.0,0.0
core_low_0_12_ideal,guarded-density,5,0.0,0.0
core_low_0_12_ideal,guarded-unguarded,0,0.0,0.0
core_low_0_12_ideal,guarded-unguarded,1,0.0,0.0
core_low_0_12_ideal,guarded-unguarded,2,0.0,0.0
core_low_0_12_ideal,guarded-unguarded,3,0.0,0.0
core_low_0_12_ideal,guarded-unguarded,4,0.0,0.0
core_low_0_12_ideal,guarded-unguarded,5,0.0,0.0
core_low_0_12_ideal,guarded-no_review,0,-72.0,9.0
core_low_0_12_ideal,guarded-no_review,1,-72.0,9.0
core_low_0_12_ideal,guarded-no_review,2,0.0,9.0
core_low_0_12_ideal,guarded-no_review,3,-24.0,9.0
core_low_0_12_ideal,guarded-no_review,4,-44.0,9.0
core_low_0_12_ideal,guarded-no_review,5,-72.0,9.0
core_low_0_12_model,guarded-sticky_edf,0,0.0,0.0
core_low_0_12_model,guarded-sticky_edf,1,0.0,0.0
core_low_0_12_model,guarded-sticky_edf,2,0.0,0.0
core_low_0_12_model,guarded-sticky_edf,3,0.0,0.0
core_low_0_12_model,guarded-sticky_edf,4,0.0,0.0
core_low_0_12_model,guarded-sticky_edf,5,0.0,0.0
core_low_0_12_model,guarded-greedy,0,0.0,0.0
core_low_0_12_model,guarded-greedy,1,0.0,0.0
core_low_0_12_model,guarded-greedy,2,0.0,0.0
core_low_0_12_model,guarded-greedy,3,0.0,0.0
core_low_0_12_model,guarded-greedy,4,0.0,0.0
core_low_0_12_model,guarded-greedy,5,0.0,0.0
core_low_0_12_model,guarded-edf,0,0.0,0.0
core_low_0_12_model,guarded-edf,1,0.0,0.0
core_low_0_12_model,guarded-edf,2,0.0,0.0
core_low_0_12_model,guarded-edf,3,0.0,0.0
core_low_0_12_model,guarded-edf,4,0.0,0.0
core_low_0_12_model,guarded-edf,5,0.0,0.0
core_low_0_12_model,guarded-density,0,0.0,0.0
core_low_0_12_model,guarded-density,1,0.0,0.0
core_low_0_12_model,guarded-density,2,0.0,0.0
core_low_0_12_model,guarded-density,3,0.0,0.0
core_low_0_12_model,guarded-density,4,0.0,0.0
core_low_0_12_model,guarded-density,5,0.0,0.0
core_low_0_12_model,guarded-unguarded,0,0.0,0.0
core_low_0_12_model,guarded-unguarded,1,0.0,0.0
core_low_0_12_model,guarded-unguarded,2,0.0,0.0
core_low_0_12_model,guarded-unguarded,3,0.0,0.0
core_low_0_12_model,guarded-unguarded,4,0.0,0.0
core_low_0_12_model,guarded-unguarded,5,0.0,0.0
core_low_0_12_model,guarded-no_review,0,0.0,0.0
core_low_0_12_model,guarded-no_review,1,0.0,0.0
core_low_0_12_model,guarded-no_review,2,0.0,0.0
core_low_0_12_model,guarded-no_review,3,0.0,0.0
core_low_0_12_model,guarded-no_review,4,0.0,0.0
core_low_0_12_model,guarded-no_review,5,0.0,0.0
core_low_0_12_model_risk,guarded-sticky_edf,0,0.0,0.0
core_low_0_12_model_risk,guarded-sticky_edf,1,0.0,0.0
core_low_0_12_model_risk,guarded-sticky_edf,2,0.0,0.0
core_low_0_12_model_risk,guarded-sticky_edf,3,0.0,0.0
core_low_0_12_model_risk,guarded-sticky_edf,4,0.0,0.0
core_low_0_12_model_risk,guarded-sticky_edf,5,0.0,0.0
core_low_0_12_model_risk,guarded-greedy,0,0.0,0.0
core_low_0_12_model_risk,guarded-greedy,1,0.0,0.0
core_low_0_12_model_risk,guarded-greedy,2,0.0,0.0
core_low_0_12_model_risk,guarded-greedy,3,0.0,0.0
core_low_0_12_model_risk,guarded-greedy,4,0.0,0.0
core_low_0_12_model_risk,guarded-greedy,5,0.0,0.0
core_low_0_12_model_risk,guarded-edf,0,0.0,0.0
core_low_0_12_model_risk,guarded-edf,1,0.0,0.0
core_low_0_12_model_risk,guarded-edf,2,0.0,0.0
core_low_0_12_model_risk,guarded-edf,3,0.0,0.0
core_low_0_12_model_risk,guarded-edf,4,0.0,0.0
core_low_0_12_model_risk,guarded-edf,5,0.0,0.0
core_low_0_12_model_risk,guarded-density,0,0.0,0.0
core_low_0_12_model_risk,guarded-density,1,0.0,0.0
core_low_0_12_model_risk,guarded-density,2,0.0,0.0
core_low_0_12_model_risk,guarded-density,3,0.0,0.0
core_low_0_12_model_risk,guarded-density,4,0.0,0.0
core_low_0_12_model_risk,guarded-density,5,0.0,0.0
core_low_0_12_model_risk,guarded-unguarded,0,0.0,0.0
core_low_0_12_model_risk,guarded-unguarded,1,0.0,0.0
core_low_0_12_model_risk,guarded-unguarded,2,0.0,0.0
